2023-07-08 13:10:59,831 INFO  - Initialize application (at simulation time 8.000,000,000 s)
2023-07-08 13:10:59,833 INFO  - Activated WLAN Module (at simulation time 8.000,000,000 s)
2023-07-08 13:10:59,911 INFO  - VEHICLE:veh_0 (at simulation time 54.001,900,000 s)
2023-07-08 13:10:59,911 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.001,900,000 s)
2023-07-08 13:10:59,911 INFO  - VEHICLE:veh_0 (at simulation time 54.101,900,000 s)
2023-07-08 13:10:59,911 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.101,900,000 s)
2023-07-08 13:10:59,911 INFO  - VEHICLE:veh_0 (at simulation time 54.202,400,000 s)
2023-07-08 13:10:59,911 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.202,400,000 s)
2023-07-08 13:10:59,912 INFO  - VEHICLE:veh_0 (at simulation time 54.302,400,000 s)
2023-07-08 13:10:59,912 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.302,400,000 s)
2023-07-08 13:10:59,912 INFO  - VEHICLE:veh_0 (at simulation time 54.401,900,000 s)
2023-07-08 13:10:59,912 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.401,900,000 s)
2023-07-08 13:10:59,912 INFO  - VEHICLE:veh_0 (at simulation time 54.501,900,000 s)
2023-07-08 13:10:59,912 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.501,900,000 s)
2023-07-08 13:10:59,912 INFO  - VEHICLE:veh_0 (at simulation time 54.600,400,000 s)
2023-07-08 13:10:59,912 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.600,400,000 s)
2023-07-08 13:10:59,912 INFO  - VEHICLE:veh_0 (at simulation time 54.701,400,000 s)
2023-07-08 13:10:59,913 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.701,400,000 s)
2023-07-08 13:10:59,913 INFO  - VEHICLE:veh_0 (at simulation time 54.801,400,000 s)
2023-07-08 13:10:59,913 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.801,400,000 s)
2023-07-08 13:10:59,913 INFO  - VEHICLE:veh_0 (at simulation time 54.900,400,000 s)
2023-07-08 13:10:59,913 INFO  - GEOLOCATION:GeoPoint{lat=52.512754,lon=13.326486,alt=0.00} (at simulation time 54.900,400,000 s)
2023-07-08 13:10:59,916 INFO  - VEHICLE:veh_0 (at simulation time 55.002,400,000 s)
2023-07-08 13:10:59,916 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.002,400,000 s)
2023-07-08 13:10:59,916 INFO  - VEHICLE:veh_0 (at simulation time 55.101,400,000 s)
2023-07-08 13:10:59,916 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.101,400,000 s)
2023-07-08 13:10:59,916 INFO  - VEHICLE:veh_0 (at simulation time 55.200,400,000 s)
2023-07-08 13:10:59,916 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.200,400,000 s)
2023-07-08 13:10:59,916 INFO  - VEHICLE:veh_0 (at simulation time 55.302,400,000 s)
2023-07-08 13:10:59,916 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.302,400,000 s)
2023-07-08 13:10:59,917 INFO  - VEHICLE:veh_0 (at simulation time 55.401,400,000 s)
2023-07-08 13:10:59,917 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.401,400,000 s)
2023-07-08 13:10:59,917 INFO  - VEHICLE:veh_0 (at simulation time 55.500,400,000 s)
2023-07-08 13:10:59,917 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.500,400,000 s)
2023-07-08 13:10:59,917 INFO  - VEHICLE:veh_0 (at simulation time 55.600,900,000 s)
2023-07-08 13:10:59,917 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.600,900,000 s)
2023-07-08 13:10:59,917 INFO  - VEHICLE:veh_0 (at simulation time 55.702,400,000 s)
2023-07-08 13:10:59,918 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.702,400,000 s)
2023-07-08 13:10:59,918 INFO  - VEHICLE:veh_0 (at simulation time 55.800,400,000 s)
2023-07-08 13:10:59,918 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.800,400,000 s)
2023-07-08 13:10:59,918 INFO  - VEHICLE:veh_0 (at simulation time 55.901,900,000 s)
2023-07-08 13:10:59,918 INFO  - GEOLOCATION:GeoPoint{lat=52.512759,lon=13.326564,alt=0.00} (at simulation time 55.901,900,000 s)
