V2X_MESSAGE_TRANSMISSION;6000000000;40;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6100000000;41;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6200000000;42;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6300000000;43;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6400000000;44;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6500000000;45;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6600000000;46;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6700000000;47;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6800000000;48;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;6900000000;49;veh_0;AutobotMessage
VEHICLE_UPDATES;7000000000;veh_0;52.51220878000667;13.318320702496539;13.801648863286246;84.71153588196714
VEHICLE_REGISTRATION;7000000000;veh_1;[adhocCommunication.DecepticonVehicle, adhocCommunication.VehicleSpeed];Decepticon
V2X_MESSAGE_TRANSMISSION;7000000000;50;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7100000000;51;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7200000000;52;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7300000000;53;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7400000000;54;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7500000000;55;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7600000000;56;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7700000000;57;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7800000000;58;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;7900000000;59;veh_0;AutobotMessage
VEHICLE_UPDATES;8000000000;veh_0;52.512222366138616;13.318512489769208;13.16302905684337;84.71153588196714
V2X_MESSAGE_TRANSMISSION;8000000000;60;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8100000000;61;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8200000000;62;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8300000000;63;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8400000000;64;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8500000000;65;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8600000000;66;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8700000000;67;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8800000000;68;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;8900000000;69;veh_0;AutobotMessage
VEHICLE_UPDATES;9000000000;veh_0;52.51223670201324;13.318714865588982;13.88974863458192;84.71153588196714
VEHICLE_UPDATES;9000000000;veh_1;52.51215100943385;13.317505240231592;12.773279970323202;84.71153588196714
V2X_MESSAGE_TRANSMISSION;9000000000;70;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9100000000;71;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9200000000;72;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9300000000;73;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9400000000;74;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9500000000;75;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9600000000;76;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9700000000;77;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9800000000;78;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;9900000000;79;veh_0;AutobotMessage
VEHICLE_UPDATES;10000000000;veh_0;52.512250701161356;13.318912492764236;13.56382359149633;84.7115358819672
VEHICLE_UPDATES;10000000000;veh_1;52.51216345957505;13.3176809736986;12.06123423126759;84.71153588196714
V2X_MESSAGE_TRANSMISSION;10000000000;80;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;10100000000;81;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;10200000000;82;veh_0;AutobotMessage
V2X_MESSAGE_TRANSMISSION;10300000000;83;veh_0;AutobotMessage
